item_name,item_price,item_quantity,roast_level,item_desc,item_picture,item_status
Ice Blend,0.42,100,dark,This blend was created specifically for ice coffee. This has stronger bitteness than the common dark roast and makes you feel reflesh after tasting. ,,N
Aoba Blend,0.38,100,dark,We recommend this blend to you the most as well as the same one of light and medium roast.This is highly evaluated blend in our store.,,E
Aoba Blend,0.38,100,medium,We recommend this blend to you the most as well as the same one of light and dark roast.This is highly evaluated blend in our store.,,E
Aoba Blend,0.38,100,light,We recommend this blend to you the most as well as the same one of medium and dark roast.This is highly evaluated blend in our store.,,E
Special Blend,0.4,5,light,"We dealed with this blend through countless tries and errors, and finally created this special blend surpassed Mountain Blend. This blend takes over the flavor and sweetness from Mountain Blend, and also has sweet scent.",,N
Brazil Dateha,0.46,50,light,,"ブラジルならではのマイルドな風味が柔らかく広がり、
香りもブラジルならではの甘味が中心とした豊かな香り。
他のブラジル浅煎りに比べて「滑らかな質感」に優れた銘柄です。
店長一押しのブラジル浅煎りを是非ご賞味下さい。",S
Brazil Dateha,0.46,50,medium,,"西山珈琲の中で最もリピートされ、皆様から愛され続けておりますブラジル・ダテハ。
その中でも「その年の中で最高のカップ」として仕上げたのがダテハ特別仕様。 まさにプレミアム中のプレミアム特別品です。
誰しもが満足をして頂けるコク・甘味・香りを備えており、完璧な風味を是非貴方の舌で体験してみて下さい。
焙煎度合：フルシティーロースト（中煎り）",S
Guatemala Antonio Medina,0.48,10,medium,,力強い香りと酸味をあまり感じさせないボディー感を備えた甘いコクに優れた店長大絶賛のガテマラです。,E
Guatemala Antonio Medina,0.48,10,dark,,"深煎りなではの円やかな甘味と広がるボディーは他の深煎りとは異なる美味しさがあります。
アンティグア地区ならではの深煎りの美味しさをご賞味下さい。",E
Mandheling,0.42,1,dark,"I can strongly recommend this Mandheling to you as a manager. You can enjoy rich flavor, sweet, and fruity flavor from various perspectives.",,E
Mandheling,0.42,1,medium,I can strongly recommend this Mandheling to you as a manager. This middle roast is a best choice for customers who think that dark roast is too strong or light roast is unsatisfying. We prepare an amaizing middle roast beans never expressed by other ones from different places of production.,,E
Mandheling,0.42,1,light,You'll feel transparent texture when you taste this Mandheling. This also gives an aftertaste that makes you feel full and have a stable afterglow.,,E
